date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:21	3016/3016	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Oct%202017%2007:50:21%20GMT	https://ngoc-thien.com/wp-login.php?redirect_to=https%3A%2F%2Fngoc-thien.com%2Fwp-admin%2Fcustomize.php%3Furl%3Dhttps%3A%2F%2Fngoc-thien.com%2F%26autofocus%255Bsection%255D%3Dmenu_locations&reauth=1	D:/WEB/webwedding/ngoc-thien.com/wp-login66ec.html	(from https://ngoc-thien.com/)
14:50:21	2414/2414	---MCZ	200	added ('OK')	text/css	etag:W/%2259ed5822-96e%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-themes-flatsome-assets-css-effects-3.4.0.css	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-content-themes-flatsome-assets-css-effects-3.4.0.css	(from https://ngoc-thien.com/)
14:50:21	752/752	---MCZ	200	added ('OK')	text/css	etag:W/%2259e6022b-2f0%22	https://ngoc-thien.com/wp-content/themes/flatsome/inc/shortcodes/ux_countdown/ux-countdown.css	D:/WEB/webwedding/ngoc-thien.com/wp-content/themes/flatsome/inc/shortcodes/ux_countdown/ux-countdown.css	(from https://ngoc-thien.com/)
14:50:21	4000/4000	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259ed5822-fa0%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-includes-js-jquery-ui-core.min-1.11.4.js	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-includes-js-jquery-ui-core.min-1.11.4.js	(from https://ngoc-thien.com/)
14:50:22	6908/6908	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259ed5823-1afc%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-includes-js-jquery-ui-widget.min-1.11.4.js	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-includes-js-jquery-ui-widget.min-1.11.4.js	(from https://ngoc-thien.com/)
14:50:22	3148/3148	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259ed5823-c4c%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-includes-js-jquery-ui-mouse.min-1.11.4.js	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-includes-js-jquery-ui-mouse.min-1.11.4.js	(from https://ngoc-thien.com/)
14:50:22	10987/10987	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259ed5826-2aeb%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-includes-js-jquery-ui-slider.min-1.11.4.js	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-includes-js-jquery-ui-slider.min-1.11.4.js	(from https://ngoc-thien.com/)
14:50:22	24899/24899	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259ed5826-6143%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-includes-js-jquery-ui-sortable.min-1.11.4.js	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-includes-js-jquery-ui-sortable.min-1.11.4.js	(from https://ngoc-thien.com/)
14:50:22	13420/13420	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259ed5826-346c%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-includes-js-jquery-ui-effect.min-1.11.4.js	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-includes-js-jquery-ui-effect.min-1.11.4.js	(from https://ngoc-thien.com/)
14:50:23	15876/15876	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259ed5826-3e04%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-themes-flatsome-inc-extensions-flatsome-live-search-flatsome-live-search-3.4.0.js	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-content-themes-flatsome-inc-extensions-flatsome-live-search-flatsome-live-search-3.4.0.js	(from https://ngoc-thien.com/)
